contactid,title,description,overrideurl,affinity,clustergroup,ogname,ogtexthead,ogtitle1,ogtag1,ogurl1,ogtitle2,ogtag2,ogurl2,ogmoreinfo,ogmoreinfourltitle,ogmoreinfourltag,ogmoreinfourl,telephonename,phonetexthead,phoneopenhours,telephone,telephonename2,phonetexthead2,phoneopenhours2,telephone2,textphone,international,fax,phonemoreinfo,phonemoreinfourltitle,phonemoreinfourltag,phonemoreinfourl,emailtexthead,emailtitle1,emailtag1,emailaddress1,emailurl1,emailtitle2,emailtag2,emailaddress2,emailurl2,emailmoreinfo,emailmoreinfourltitle,emailmoreinfourltag,emailmoreinfourl,postname,posttexthead,posttag1,postaddress1,posttag2,postaddress2,posttag3,postaddress3,postmoreinfo,postmoreinfourltitle,postmoreinfourltag,postmoreinfourl,keywords,alt_meta_title,alt_meta_description,alt_meta_keywords,entrysource,externalid,lastupdated
71,Welsh language helplines,Enquiries from Welsh speaking customers,,employers > All employers,See also,,Am ragor o wybodaeth drwy gyfrwng y Gymraeg cliciwch y ddolen isod,safle iaith Gymraeg,,http://www.hmrc.gov.uk/cymraeg/index.htm,,,,,,,,Helpline for tax and tax credits,"For enquiries regarding: 
- Bereavement enquiries for Pay As You Earn and Self Assessment
- Child Benefit  
- Child Trust Fund 
- Construction Industry Scheme
- Employers
- Health in Pregnancy Grant
- Income Tax 
- Inheritance Tax
- National Insurance
- National Minimum Wage
- Pay As You Earn  
- Self  Assessment
- Stamp Duty Land Tax
- Tax credits","8.30 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",0300 200 1900,"Helpline for VAT, customs, excise and duties","For enquiries regarding:
- VAT
- Customs
- Excise
- Duties
- International trade","8.00 am to 6.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3705,,,,"If you have a query regarding payment of taxes and duties, please follow the link below to contact the Welsh Language Helpline for Debt Management.",Welsh Language Helpline for Debt Management,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?ha=34&amp;tx0=1261551&amp;fl0=__dsid:&amp;tx1=2040&amp;raction=view,Statutory Sick Pay enquiries for Welsh speaking customers,Welsh language Statutory Sick Pay email enquiries,,,https://online.hmrc.gov.uk/shortforms/form/EHL_SP_Welsh?dept-name=EHL&sub-dept-name=SSP&location=1&origin=http://www.hmrc.gov.uk/cymraeg/index.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,hyaCiQ0ADLY,26/06/2013 10:28:12
72,Statutory Sick Pay enquiries for Welsh speaking customers,Welsh language Statutory Sick Pay email service,,,See also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Welsh language Statutory Sick Pay email enquiries,,,https://online.hmrc.gov.uk/shortforms/form/EHL_SP_Welsh?dept-name=EHL&sub-dept-name=SSP&location=1&origin=http://www.hmrc.gov.uk/cymraeg/index.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,UqWnIG9xA0s,06/06/2013 07:19:45
73,"VAT, customs and excise and duties enquiries for Welsh speaking customers",Welsh language National Advice Service,,,See also,,,,,,,,,,,,,Welsh language National Advice Service,"For Welsh language enquiries about VAT, customs and excise or international trade","8.00 am to 6.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,L7DXSSTBjyo,12/06/2013 09:11:55
75,"Business Payment Support Service
Time to Pay Service for businesses
Support Payment Service for businesses
Payment Support Service for businesses","Help for businesses having difficulty meeting tax, National Insurance or other payments during the economic downturn",,businesses & corporations > All businesses,See also,,,Business Payment Support Service,How and when to let HMRC know about changes to your business circumstances that may affect your tax position,http://www.hmrc.gov.uk/payinghmrc/problems/bpps.htm,,,,,,,,Business Payment Support Service,"A dedicated Business Support Service designed to meet the needs of businesses affected by the current economic condition was introduced on 24 November 2008. If you're worried about being able to meet tax, National Insurance or other payments owed to HM Revenue & Customs, or you anticipate that payments coming due will cause you problems, you can get in touch with us to discuss payment options to help you deal with temporary cashflow difficulties.","8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm, Saturday and Sunday",0300 200 3835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,2FDcUqqsxZs,28/06/2013 09:21:08
77,"Trusts
United Kingdom Family trusts",For advice on Income Tax and Capital Gains Tax on trusts,,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Information about trusts,"What trusts are, how they work and help with trust tax",http://www.hmrc.gov.uk/trusts/index.htm,,,,,,,,Trusts and Deceased Estates Helpline,"Help and advice for trust and deceased estate Income Tax and Capital Gains Tax queries 

The helpline can:
- help you understand how family trusts are taxed
- provide general advice and information about Income Tax and Capital Gains Tax on trusts and deceased estates

The helpline cannot:
- comment on tax planning queries
- deal with the personal tax affairs of the deceased including completion of forms R27 or the tax affairs of an individual
- provide assistance in Inheritance Tax matters","9.00 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",0845 604 6455,,,,,,+44 115 974 3009,,"For specific enquiries concerning your tax affairs or those of the deceased please telephone the relevant HMRC office.

Call the Probate and Inheritance Tax helpline for help and advice on Probate and Inheritance Tax following a death.",Probate and Inheritance Tax Helpline,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sf=&amp;sp_scope=hmrc&amp;sc=hmrc&amp;nh=10&amp;sr=0&amp;cs=ISO-8859-1&amp;tx1=&amp;tx0=49659,,,,,,,,,,,,,,,For written enquiries regarding trusts and tax,,"HMRC Trusts & Estates
Trusts
Ferrers House
Castle Meadow Road
Nottingham
NG2 1BB 

HMRC Trusts & Estates has specialist offices in Edinburgh, Truro and Bootle. If your case is being dealt with by one of these offices, they will give you the correct address when they write to you.",,,,,,,,,,,,,enquiry,wsxrNQaOrGg,31/05/2013 14:58:27
78,Health in Pregnancy Grant,For general information about Health in Pregnancy Grant,,individuals & employees > All individuals,Tax credits and other benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Health in Pregnancy Grant Office
Waterview Park
Mandarin Way
Washington
NE88 1ZX",,,,,"When you contact us, please tell us your full name, National Insurance number and a contact phone number.",,,,,,,,enquiry,oiy5KjuSbmY,31/05/2013 14:58:27
79,"Income Tax enquiries for individuals, pensioners and employees
Taxes Helpline","For all enquiries relating to Income Tax for individuals, pensioners and employees",,"individuals & employees > All individuals
businesses & corporations > Pension schemes
employers > All employers",Tax,,,Tax refunds and reclaiming overpaid tax,Find out how to claim a refund if you think you've paid too much tax on your employment or pension income,http://www.hmrc.gov.uk/incometax/refund-reclaim.htm,Tax codes,"Understanding tax codes and your PAYE Coding Notice, emergency tax, underpayments, what to do if your tax code is wrong",http://www.hmrc.gov.uk/incometax/tax-codes.htm,,Where's my reply?,,http://www.hmrc.gov.uk/tools/progress-tool/index.htm,Taxes Helpline,Please have your National Insurance number with you when you phone,"8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday",0300 200 3300,,,,,0845 302 1408,+44 135 535 9022,,,,,,You can use the HMRC email service to report a change of name or address,Tell HMRC about a change of name or address by email,,,http://www.hmrc.gov.uk/individuals/change-of-circs.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,"You can write to HMRC by using the postal address on the most recent correspondence from us.

If you don't have recent correspondence from us then write to:

HM Revenue & Customs
Pay As You Earn
PO Box 1970
Liverpool
L75 1WX

If you want to complain to HMRC about the service you have received in relation to Pay As You Earn (PAYE), please clearly mark your letter as a complaint so we can direct it to a  complaints handler quickly.",,,,,,,,enquiry,hpkspulskxM,14/06/2013 07:34:35
80,"Income Tax enquiries for self-employed
Taxes Helpline for Self-Employed",For all enquiries relating to Income Tax,,"individuals & employees > Self-employed
individuals & employees > All individuals",Tax,,,Tax and National Insurance for the self-employed,"Find out how to register with HMRC when you start a business, basic information on Self-Assessment, National Insurance, VAT and record keeping",http://www.hmrc.gov.uk/working/intro/selfemployed.htm,File your tax return online,Save time and get your tax calculation automatically when you file your tax return online,http://www.hmrc.gov.uk/sa/file-online.htm,,,,,Taxes Helpline,,"8.00 am to 8.00 pm, Monday to Friday  
8.00 am to 4.00 pm Saturday",0300 200 3300,,,,,0300 200 3319,+44 135 535 9022,,,,,,You can use the HMRC email service to report a change of name or address,Tell HMRC about a change of name or address by email,,,http://www.hmrc.gov.uk/individuals/change-of-circs.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,"You can write to HMRC by using the postal address on the most recent correspondence from us.

If you don't have recent correspondence from us then write to:

HM Revenue & Customs
Self Assessment
PO Box 4000
Cardiff
CF14 8HR",,,,,,,,enquiry,fPCm_2Cccl0,24/06/2013 09:19:34
81,Corporation Tax enquiries,For all enquiries relating to Corporation Tax; both general enquiries and enquiries relating to your specific Corporation Tax affairs,,businesses & corporations > All businesses,Tax,,,Information about completing and filing your Company Tax Return,Find out more about completing and filing your Company Tax Return,http://www.hmrc.gov.uk/ct/managing/company-tax-return/index.htm,Managing your Corporation Tax,Paying tax; payment problems; refunds; filing returns; chargeable gains; keeping records; directors' loans; using an agent,http://www.hmrc.gov.uk/ct/managing/index.htm,,Corporation Tax - Online service issues,,http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&_pageLabel=pageOnlineServices_ShowContent&id=HMCE_PROD1_026876&propertyType=document,If you want to contact us about Corporation Tax,"If you know which Tax Office deals with your company's tax affairs, then you should contact that office. The telephone number can be found on recent correspondence - tax forms or letters from us. If you can't find your tax office telephone number, use the 'Find a Tax Office' link below.",,,,,,,,,,,Find a Tax Office,,http://search2.hmrc.gov.uk/kbroker/hmrc/locator/locator.jsp?type=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,H4KsnaDw_lA,31/05/2013 14:58:22
82,"Capital Gains Tax enquiries for individuals, employees and self-employed",For all enquiries relating to Capital Gains Tax; both general enquiries and enquiries relating to your specific Capital Gains Tax affairs,,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Capital Gains Tax,Helping you to understand and work out your Capital Gains Tax,http://www.hmrc.gov.uk/cgt/index.htm,Capital Gains Tax rates and annual tax-free allowances,Check current and previous years' Capital Gains Tax rates and the Annual Exempt Amount,http://www.hmrc.gov.uk/rates/cgt.htm,,,,,Taxes Helpline,,"8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday",0300 200 3300,,,,,0300 200 3319,,,,,,,,,,,,,,,,,,,,,"You can write to HMRC by using the postal address on the most recent correspondence from us.

If you don't have recent correspondence from us then write to:",,"HM Revenue & Customs
Capital Gains Tax
PO Box 1970
Liverpool
L75 1WX","If your query is in respect of the areas listed below, please write to the PO Box address in Glasgow.","HM Revenue & Customs 
Local Compliance 
Personal & CGT Compliance S0970
PO Box 3900
Glasgow
G70 6AA",,,"- Negligible Value claims (S24 TCGA 1992) for unlisted shares
- Business disposals (including rollover, taper, incorporation and entrepreneurs' relief)
- Overpayment relief where a claim is in respect of CGT issue
- Mansworth v Jelley or HMRC v Smallwood amended loss claims  
- Claims under S48 and S279A TCGA 1992 
- 2007/2008 & earlier EIS CGT deferral relief claims 
- CAP1 requests involving CGT",,,,,,,,enquiry,gwYsnAv-zT8,24/06/2013 09:26:37
84,"VAT reliefs for disabled and older people
Disabled and older people - VAT reliefs
Reduced rate VAT on equipment and vehicles for disabled and older people",Call the helpline for advice on the VAT reliefs available for disabled and older people,,"individuals & employees > All individuals
businesses & corporations > All businesses","VAT, Customs, Excise duties",,,Equipment and vehicles for disabled people might be free of VAT,"If you're disabled, you may not have to pay any VAT on items that you buy such as cars and other equipment to help your mobility",http://www.hmrc.gov.uk/vat/sectors/consumers/disabled.htm,Reduced-rate VAT on mobility aids for older people,"If you are over 60, you will be able to buy some mobility aids at a reduced rate of VAT",http://www.hmrc.gov.uk/vat/sectors/consumers/mobility-aids.htm,,,,,,For information and advice on the VAT reliefs available for disabled and older people,"8.00 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0845 302 0203,,,,,,,,"This helpline is part of HMRC Charities. When you call this number, please choose option 1 to speak to an advisor about VAT reliefs for disabled and older people.",,,,If you need to send documents please contact us by post.,,,,,VAT relief for disabled and older people,,,http://www.hmrc.gov.uk/charities/vat-relief-disabled.htm,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,You can write to us at the following address:,"HM Revenue & Customs
VAT Disabled and Elderly Reliefs Correspondence S0708 
PO Box 205 
Bootle 
L69 9AZ",,,,,,,,,elderly,,,,enquiry,QaLSrBITuKk,31/05/2013 14:58:27
85,"Non-UK residents' Payment Helpline
Payment helpline for non-UK residents",Payment enquiries from customers who are living abroad permanently and have HMRC debts,,individuals & employees > All individuals,Tax,,,,,,,,,,,,,,"If you live outside the UK permanently and need help with paying your tax, call the number below. This is the Non-Residents Recovery Unit.","8.00 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",+44 1274 204880 (debt recovery calls only) see note below,,,,,,,+44 1274 204198,"Advisers cannot deal with general tax enquiries, they can only make time to pay arrangements for non-UK residents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,V5CMOnCtYt4,31/05/2013 14:58:27
86,High Net Worth Unit,High Net Worth Unit deals with the tax affairs of HMRC's wealthiest customers,,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,High Net Worth Unit (HNWU) deals with the tax affairs of HM Revenue & Customs (HMRC) wealthiest customers. For more information check our website.,High Net Worth Unit,,http://www.hmrc.gov.uk/menus/hnwu.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,S_NdRPJrM0E,31/05/2013 14:58:27
87,"International Trade Development Liaison Officers (ITDLOs)
Development Liaison Officers for International Trade
Support for businesses - International Trade
Importing and Exporting Developments",International Trade Development Liaison Officers (ITDLOs),,businesses & corporations > All businesses,"VAT, Customs, Excise duties",,,International Trade Development Liaison Officers (ITDLOs),,http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&_pageLabel=pageVAT_ShowContent&id=HMCE_PROD_008550&propertyType=document,,,,"International Trade Development Liaison Offiocers (ITDLOs) can provide information and support to businesses on future developments in international trade, including:

Export Control System (ECS)
Import Control System (ICS)
Authorised Economic Operators (AEO)
Economic Operator Registration and Indentification Scheme (EORI)
Multi Annual Strategic Plan (MASP)
Modernised Customs Code (MCC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,F69496hk13k,31/05/2013 14:58:27
88,Research and Development (R&D) specialist units,"Our R&D specialist units will be your first point of contact for any issues surrounding your R&D claim, unless your company is dealt with by Large Business Service (LBS)",,businesses & corporations > All businesses,Tax,,,Information about R&D Relief and how to claim,What is R&D; who can claim; how to claim; when to claim; and SME and Large Company Schemes explained,http://www.hmrc.gov.uk/ct/forms-rates/claims/randd.htm,Find out which office deals with your company's post code,R&D specialist units are located throughout the UK. They deal with enquiries on a UK post code basis. First check which unit deals with your company's post code and then follow the link below to find out contact details,http://www.hmrc.gov.uk/manuals/cirdmanual/CIRD80360.htm,,Find your R&D specialist unit contact details,,http://www.hmrc.gov.uk/manuals/cirdmanual/CIRD80350.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If your company's tax affairs are handled by Large Business Service (LBS), you should contact LBS.",,,,,,Large Business Service - who to contact,,http://www.hmrc.gov.uk/large-businesses/contacts.htm,,,,,enquiry,Pvzq8v3IoTM,31/05/2013 14:58:28
89,Stamp Taxes - Urgent Scottish transactions,Information for Solicitors dealing with Scottlish land transactions,,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Stamp Taxes,"Understanding Stamp Duty Land Tax, when its payable and how its calculated",http://www.hmrc.gov.uk/so/index.htm,SDLT returns for Scottish transactions,"Information on paper or online options including Automated Registration of Title to Land (ARTL), how to get an urgent SDLT certificate",http://www.hmrc.gov.uk/sdlt/return/scottish.htm,,,,,Urgent Scottish transcations,Solicitors dealing with Scottish land transactions that need to complete and register on the same day under the 2 day arrangement. Or handling documents that need to be urgently stamped under Stamp Duty should telephone the number to make arrangements.,"8.30 am to 4.00 pm, Monday to Friday 
Closed weekends and bank holidays",03000 561 627,,,,,,,03000 561 703,"For all other enquiries relating to stamp taxes on the purchase of land, property and shares or on the leasing of land and property contact the Stamp Taxes Helpline.",Stamp Taxes Helpline,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sf=&amp;sp_scope=hmrc&amp;sc=hmrc&amp;nh=10&amp;sr=0&amp;cs=ISO-8859-1&amp;tx1=&amp;tx0=49668,,,,,,,,,,,,,,,If you have made an arrangement to send urgent documents related to Scottish transactions you should send them to the address below:,,"Edinburgh Stamp Office,
Elgin House
20 Haymarket Yards 
Edinburgh
EH12 5WN

The address for solicitors using the DX system is:

ED 543303 Edinburgh 33",,"All other enquiries should be sent to: 
Birmingham Stamp Office 
9th Floor 
City Centre House 
Birmingham 
B2 4AR 

DX 15001 Birmingham 1",,,,Address to send cheques and returns,You should not send cheques or paper returns to the Birmingham address,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?sr=0&amp;as=1&amp;cs=ISO-8859-1&amp;sc=hmrc&amp;sf=&amp;sm=0&amp;nh=50&amp;ha=34&amp;tx0=49670&amp;fl0=__dsid:&amp;tx1=2040&amp;raction=view,,,,,enquiry,2VZIkJl4Tco,31/05/2013 14:58:28
90,Stamp Duty Reserve Tax enquiries,For all enquiries relating to Stamp Duty Reserve Tax,,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Stamp Duty Reserve Tax (SDRT):the basics,"Who pays Stamp Duty Reserve Tax, what it's charged on, rates payable and when and how it's paid",http://www.hmrc.gov.uk/sdrt/intro/basics.htm,How to pay Stamp Duty Reserve Tax,Information on payment methods,http://www.hmrc.gov.uk/payinghmrc/stamp-reserve.htm,,,,,Stamp Taxes Helpline,"For enquiries relating to stamp taxes payable on the purchase of land, property and shares or on the leasing of land and property","8.30 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",0845 603 0135,,,,,,+44 1726 209 042,03000 570 316,You may want to call between 12.00 pm and 2.00 pm when we are generally less busy. For enquiries relating to SDLT1 please have the Unique Taxpayer Reference number available.,,,,,,,,,,,,,,,,,,Writing to HMRC about Stamp Duty Reserve Tax,,"Birmingham Stamp Office 
9th Floor 
City Centre House 
30 Union Street
Birmingham
B2 4AR

If you use the DX service the address is:

150001 Birmingham 1",,,,,"Please mark your correspondence 'SDRT', and the subject you are writing about, and include any reference number.",,,,,,,,enquiry,9qbA6-d-M9c,31/05/2013 14:58:28
91,Stamp Duty enquiries - shares and land,For Stamp Duty enquiries relating to shares and land,,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Stamp Duty: the basics,Stamp Duty is charged on shares you buy using a stock transfer form and on land transfers before December 2003,http://www.hmrc.gov.uk/sd/getstarted/basics.htm,Stamp Duty on shares,"When you buy shares valued above £1,000 using a stock transfer form, you usually have to get the form stamped by HMRC and pay Stamp Duty",http://www.hmrc.gov.uk/sd/shares/sharetransfers.htm,,,,,Stamp Taxes Helpline,"For enquiries relating to stamp taxes payable on the purchase of land, property and shares or on the leasing of land and property","8.30 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",0845 603 0135,Stocks and shares 'same day' stamping service,"This service is only available in exceptional circumstances when it is essential to have a document stamped immediately. 
   
If you become aware that a transaction may need an instrument stamped at short notice you should contact the Stamp Duty Team giving as much detail as possible. Include the number of instruments to be stamped, the specific reason or reasons for the request and the amount of Stamp Duty.

This number is only for the same day stamping service and should not be used for general enquiries.","8.30 am to 5.00 pm, Monday to Friday 
Closed weekends and back holidays",03000 570 320,,+44 1726 209 042,03000 570 316,,,,,,,,,,,,,,,,,,Writing to HMRC about Stamp Duty,Use the address below if you're writing to HMRC about anything to do with Stamp Duty including documents to be stamped and making payment by cheque.,,"Birmingham Stamp Office 
9th Floor 
City Centre House
30 Union Street 
Birmingham 
B2 4AR 

If you use the DX service the address is:

15001 Birmingham 1 

Please mark your correspondence 'Stamp Duty' and the subject you are writing about and include any reference number.",,,,,,,,,,,,,enquiry,Xn5eIwnYChM,17/06/2013 15:47:46
92,"Appealing against an HM Revenue & Customs decision
VAT appeals
Self Assessment appeals
Tax credits appeals",Find out how and when you can appeal against an HM Revenue & Customs decision on tax and other matters,,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses
employers > All employers",See also,,,What to do if you disagree with an HM Revenue & Customs decision,Find out how to ask for a review or appeal against an HM Revenue & Customs decision,http://www.hmrc.gov.uk/dealingwith/appeals.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,XLYQwULdyx8,31/05/2013 14:58:28
93,Offshore Disclosures,Find out what to do if you want to make a disclosure about a tax you haven't paid,,individuals & employees > All individuals,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You can make a disclosure and put your tax affairs in order anytime. Customers who make a full and voluntary disclosure of all unpaid liabilities in these circumstances can expect a lower penalty than HMRC would seek if we contacted you first to make a compliance check - before you make a disclosure.,If you want to make a disclosure you should send details of the disclosure to:,"HM Revenue & Customs
Parkway House 
49 Baddow Road 
Chelsmford 
Essex
CM2 0XA",,,,,,,,,,,,,enquiry,hbvyLoHCna8,31/05/2013 14:58:28
94,Secure Electronic Transfer (SET),Find out about SET and the type of return it supports,,businesses & corporations > All businesses,See also,,,Secure Electronic Transfer,"Information about Secure Electronic Transfer, who should use it and how to sign up",http://www.hmrc.gov.uk/set/index.htm,,,,,,,,,If you would like more information about SET and wish to speak with an HMRC representative about signing up for the service please contact us using telephone or email options.,"9.00 am to 5.30 pm, Monday to Friday 
Closed weekends and bank holidays",03000 597 222,,,,,,+44 3000 597 222,,,,,,,Email the team if you are interested in SET and wish to find out more about this service or want to sign up @,,MDTSSETCustomerManagement@hmrc.gsi.gov.uk,,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at the risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any of the links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,HqznoMUuusQ,31/05/2013 14:58:28
95,Excise Movement and Control System (EMCS) Enquiries,Information for businesses about Excise Movement & Control System (EMCS),,businesses & corporations > All businesses,"VAT, Customs, Excise duties",,,,,,,,,,,,,EMCS National Service Desk Helpline,The quickest and easiest way to get your technical or business questions answered is to ring the EMCS National Service Desk.,"8.00 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",0845 600 5022,,,,,,00 44 1255 244 869,,"If your question is about the registration or enrolment process for the EMCS service, please contact the EMCS Online Services Helpdesk by following the link below.",EMCS Online Services Helpdesk,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?ha=34&amp;tx0=535807&amp;fl0=__dsid:&amp;tx1=2040&amp;raction=view,The EMCS National Service Desk can be contacted by email if you have a technical or business question.,Email EMCS @,,EMCS.Helpdesk@hmrc.gsi.gov.uk,,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. However, if our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,FR_CZpPVKRM,31/05/2013 14:58:28
96,"Excise Movement and Control System (EMCS) - Online Services Helpdesk
Online Services Helpdesk for Excise Movement and Control System (EMCS)",For help and assistance with the registration or enrolment process for the EMCS service,,businesses & corporations > All businesses,"VAT, Customs, Excise duties",,,,,,,,,,,,,EMCS Online Services Helpdesk,For help and assistance to register and enrol to use to use the EMCS service,"8.00 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",0845 010 8500,,,,,,00 44 1255 244 869,,,,,,,Email EMCS @,,EMCS.Helpdesk@hmrc.gsi.gov.uk,,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email, please confirm in your message that you understand and accept the risks involved. However, if our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,cfi3QW2OmYU,31/05/2013 14:58:28
